P10790390X0000|67 75|mod ( mdg4 )
P09632734A0081|137 159|small GTP binding proteins
P09533030T0000|0 10|Cytochrome b
P07791783A0000|104 109|SOX-LZ
P11056019A0926|0 3|MED1
P11150315A0844|56 58|EGF
P09715278A1526|94 97|FGF4
P01615493A0408|3 6|HC II
P11241215A0566|188 199|enterokinase
P09344650A0967|45 52|Casr-rs3
P07293100T0001|0 6|Gastrin
P01427034A0440|33 53|ribosomal protein genes
P10681588A0899b|125 156|CCAAT enhancer-binding protein beta
P01535242A0557|43 48|GM-CSF
P08757943A0876|50 72|thymidine kinase promoter
P00015731A0090|36 52|carbonic anhydrase
P07914192A0844|172 175|HER2
P09011744A0790|69 76|epsilon 1
P08169201A0291|48 58|carA product
P02111015A0574|142 146|IRF-2
P10428811A0628|89 95|betaARK
P09005979A0841|11 18|GHBP mRNA
P09435789A0961a|22 25|MEC3
P09105042A1497|286 292|beta MHC
P01992459A0000|122 144|virus-encoded protein Rev
P11470914A0305|13 16|Rac1
P11046146A1202|65 75|NFI proteins
P08483412A0000|127 137|NifA protein
P10334888A0960|69 72|IL-8
P10891441A0871|91 118|phosphatidylinositol 3' kinase
P10564479A0384|45 48|FdsR
P07937106A0100|3 15|v-ets oncogene
P11238375A0617|70 73|ERK6
P09147420T0000|6 8|Sp1
P07579683A0660|86 98|c-myc promoter
P09050849A0000|0 10|Cytohesin-1
P11121434A0915|15 17|Mek
P05425195T0001|10 34|aspartate aminotransferase
P02229068A0156|39 41|rev
P01985920A0156|81 84|SCP2
P07896846T0000|100 129|human beta-myosin heavy chain gene
P11473261A0587|0 3|Mss4
P09840934A0435|25 36|Ha-RasV12S35
P01710979T0000|92 95|p110
P11152451A0529|31 37|SmSmad2
P02123820A0000|36 38|MAO
P08993393T0000|24 42|immediate-early gene
P11158337A0000|180 197|activator protein-1
P01662807A1182|24 33|TR promoter
P02566613T0000|0 15|Somatostatin gene
P02144610A1306|113 152|cyclic AMP response element-binding proteins
P10593939A0747|78 88|SR33 protein
P07623844A0639|184 195|wild-type p53
P00150066A0100|52 59|thrombin
P08530384A0559|170 173|Oct1
P07999982A0086|60 64|D9S15
P11289135A0975|210 246|mitogen-activated protein kinase kinase 1
P11550795A2583|16 23|RORgamma
P10318806A0918|228 247|phospholipase C-gamma
P08223613A0519|85 88|TSL1
P08132574A0831|80 82|RP1
P01360294A0000|104 118|antithrombin III
P10022875A1265|91 93|Pak
P07883193A0000|175 198|glutathione S-transferase
P09647240A0000|163 174|Val135 mutant
P10220275A0694|112 118|Gialpha
P08106313A1492|30 33|hrpL
P02689439A0402|39 44|pmGT10
P10606515A0389|49 80|beta-retinoic acid receptor element
P08581174A0472|43 53|qutA mutants
P10498616A1280|0 13|Mammalian M-Ras
P02167321T0000|21 42|cAMP-responsive element
P07652575A0435|69 71|Rho
P08756636T0000|71 82|Srs2 helicase
P08428940A1763|93 105|RNA polymerase
P09006022A0252|82 104|T7 RNA polymerase promoter
P09418040T0000|217 220|CHL H
P03011793A0582|35 38|rbsC
P11559366T0000|0 3|E2F1
P11005831A0242|127 131|AREB1
P09418861A0623|107 130|pleckstrin homology domain
P01826043A0431|132 164|cyclic AMP-dependent protein kinases
P08649405T0000|0 2|Sp1
P09346238T0000|0 12|F-box proteins
P10835355A0225|18 38|zinc finger protein Gis1
P03185540T0000|40 63|mammalian RNA polymerase II
P08770021T0000|50 56|Tpr-Met
P07651398T0000|1 24|Drosophila shc gene product
P08504932A0123|53 64|GATA proteins
P09131139T0000|19 33|acetylhydrolase
P08496185A0484|78 81|adk1
P09617807A0929|96 102|Cyclops
P07589069A1245|44 55|human CD6 cDNA
P10468585A0980|154 158|hsp70
P01427034A0440|90 97|S13 genes
P11220306A0911|101 105|HexA+
P08624445A0257|182 189|Waxy gene
P07935418A0447|6 11|v-erbA
P11069756A2618|162 165|GPCR
P07862141A0317|55 58|cAPK
P09343433A0360|86 89|ADE2
